group,mix_ratio,mix_percent,expected_training_frames_yaml,current_public_raw_rows_mapped_entries,raw_minus_expected,mapped_entries,missing_entries,exclude_splits_in_training_yaml,warning,normalized_training_mixture_weight,language_distribution_reconstructed
cmr_versius,1.6,19.2,105945933,105698319,-247614,4,0,,"Raw current-public rows are not exact training rows when historical snapshots differ, entries are missing, or exclude_splits were used.",0.19202611555171503,True
jhu_imerse_dvrk,2.9144,34.98,5269530,5098072,-171458,9,3,missing_videos,"Raw current-public rows are not exact training rows when historical snapshots differ, entries are missing, or exclude_splits were used.",0.3497755694774489,True
jhu_imerse_dvrk_mono,0.3102,3.72,516334,516334,0,1,0,,"Raw current-public rows are not exact training rows when historical snapshots differ, entries are missing, or exclude_splits were used.",0.03722906315258875,True
jhu_lscr_dvrk_smarts,0.0619,0.74,103025,103025,0,3,0,,"Raw current-public rows are not exact training rows when historical snapshots differ, entries are missing, or exclude_splits were used.",0.0074290103454069745,True
stanford_dvrk_real,0.5253,6.3,874437,874437,0,3,0,fail | bad_frames,"Raw current-public rows are not exact training rows when historical snapshots differ, entries are missing, or exclude_splits were used.",0.06304457406207244,True
obuda_dvrk,0.6949,8.34,1156946,1156946,0,11,0,,"Raw current-public rows are not exact training rows when historical snapshots differ, entries are missing, or exclude_splits were used.",0.08339934231055422,True
rob_surgical_bitrack,0.6031,7.24,1003887,1003887,0,1,0,,"Raw current-public rows are not exact training rows when historical snapshots differ, entries are missing, or exclude_splits were used.",0.07238184393077458,True
jhu_imerse_star_il,0.0704,0.85,117247,216140,98893,1,0,MISSING_VIDEOS,"Raw current-public rows are not exact training rows when historical snapshots differ, entries are missing, or exclude_splits were used.",0.008449149084275461,True
ustc_torin_tuodao,0.3075,3.69,512030,0,-512030,0,7,,"Raw current-public rows are not exact training rows when historical snapshots differ, entries are missing, or exclude_splits were used.",0.03690501908259523,False
hamlyn_dvrk_30hz,0.3272,3.93,544573,544573,0,6,0,failure,"Raw current-public rows are not exact training rows when historical snapshots differ, entries are missing, or exclude_splits were used.",0.03926934063032572,True
ucsd_dvrk,0.1892,2.27,314917,314917,0,2,0,,"Raw current-public rows are not exact training rows when historical snapshots differ, entries are missing, or exclude_splits were used.",0.022707088163990304,True
ucb_dvrk,0.1333,1.6,221950,221950,0,1,0,,"Raw current-public rows are not exact training rows when historical snapshots differ, entries are missing, or exclude_splits were used.",0.01599817575190226,True
turin_mitic_ex_vivo,0.5661,6.8,997835,997835,0,4,0,failure | MISSING_VIDEOS,"Raw current-public rows are not exact training rows when historical snapshots differ, entries are missing, or exclude_splits were used.",0.06794124000864118,True
tud_tundra_ur5e,0.0287,0.34,47753,47753,0,1,0,,"Raw current-public rows are not exact training rows when historical snapshots differ, entries are missing, or exclude_splits were used.",0.003444468447708888,True
