rule,source_rows_affected,source_mixture_weight_affected
strip_cmr_state_template,1341,0.19938440066295313
strip_cmr_do_carrier,1341,0.19938440066295313
lowercase_semantic_text,198,0.47317527625646727
strip_rob_tool_template,122,0.07515545752489183
strip_rob_process_carrier,122,0.07515545752489183
insert_space_after_punctuation,107,0.07007552963425122
strip_terminal_punctuation,61,0.049051527157282095
strip_rob_run_identifier,49,0.02181250888242651
split_rob_concatenated_phases,33,0.0038883851552867625
lemmatize_inflection:suturing->suture,30,0.05998526819501115
canonicalize_action_nominalization:dissection->dissect,30,0.036221841313217276
lemmatize_inflection:using->use,20,0.005703035596269952
lemmatize_inflection:preparing->prepare,15,0.0040946367408547365
lemmatize_inflection:separating->separate,12,0.002583123306147874
lemmatize_inflection:tying->tie,9,0.06382516823768727
lemmatize_inflection:cutting->cut,8,0.02844605843014785
lemmatize_inflection:vessels->vessel,8,0.0016711244620865068
lemmatize_inflection:dissected->dissect,8,0.0007811556741848067
split_camel_case,7,0.024356075316107784
lemmatize_inflection:clipping->clip,6,0.06752477817426286
lemmatize_inflection:going->go,6,0.029048969078984816
lemmatize_inflection:positioned->position,5,0.000659824350753169
lemmatize_inflection:picks->pick,5,0.000659824350753169
lemmatize_inflection:positions->position,5,0.000659824350753169
normalize_whitespace,5,0.0005040428922325569
lemmatize_inflection:grasped->grasp,5,0.0005040428922325569
lemmatize_inflection:awaiting->await,5,0.0013421920760326375
lemmatize_inflection:continuing->continue,5,0.0005867268971396507
lemmatize_inflection:instruments->instrument,4,0.00389431541786658
lemmatize_inflection:ovaries->ovary,4,0.00017525769938824985
lemmatize_inflection:traces->trace,3,0.003735661728010981
canonicalize_action_nominalization:retraction->retract,3,0.030603341659783904
lemmatize_inflection:threading->thread,2,0.015365403908007922
lemmatize_inflection:arms->arm,2,0.0009291805794649535
drop_invalid_placeholder,1,0.00037670885984945397
lemmatize_inflection:grabbing->grab,1,0.007765132212804498
lemmatize_inflection:placing->place,1,0.012574225443110303
canonicalize_action_nominalization:insertion->insert,1,0.0006989309735248917
lemmatize_inflection:pulling->pull,1,0.0007082869782036892
lemmatize_inflection:layers->layer,1,0.007492370828012178
replace_underscores,1,0.016611212880232287
