bigram,expected_occurrences_per_training_sample,token_share
wound closure,0.13426172875511994,0.09829058068480434
left tube,0.07220320661372498,0.05285866025389831
knot tie,0.06384922080485894,0.0467428585001186
clip left,0.0553947904762174,0.0405535231320552
right tube,0.05389294587681252,0.039454049893161626
inguinal hernia,0.04870035318544291,0.035652646800659535
hernia repair,0.04870035318544291,0.035652646800659535
clip right,0.04121535067315251,0.030173011984530384
go back,0.03764702662756072,0.027560706558667228
peg transfer,0.03607118894322295,0.026407064322009743
plastic phantom,0.03290289876560191,0.02408761644789276
first clip,0.03265161526569853,0.023903656347341238
third clip,0.032092325315232095,0.023494210301083437
second clip,0.031866200568439286,0.02332866846816091
needle throw,0.02384132452987838,0.017453802018374903
needle transfer,0.02350607482784107,0.017208371781529404
clip first,0.023023319042741547,0.016854955012012566
clip third,0.022567506284945513,0.01652126274495537
clip second,0.021959399614796427,0.01607607886209123
tissue retract,0.021854339505640804,0.015999166258392004
cut position,0.02089890092049331,0.015299706969333552
make first,0.018826931674315924,0.013782855799189019
shift needle,0.018826931674315924,0.013782855799189019
needle holder,0.018826931674315924,0.013782855799189019
create second,0.018826931674315924,0.013782855799189019
second parallel,0.018826931674315924,0.013782855799189019
parallel suture,0.018826931674315924,0.013782855799189019
needle pickup,0.01676897850426668,0.012276265544603454
surgical debridement,0.01661747282947545,0.012165350983243726
flap grasp,0.01566738767204915,0.011469810841691037
needle thread,0.015371194373114738,0.011252973090403694
scissors place,0.01257896405031578,0.00920883182707915
ex vivo,0.01245598069458094,0.009118797939076778
vivo tissue,0.01245598069458094,0.009118797939076778
mesenteric artery,0.012032106914954334,0.008808487619651719
position left,0.011901231197495225,0.008712675876529756
perform base,0.010463957345480515,0.007660473712685473
base knot,0.010463957345480515,0.007660473712685473
back second,0.00990680095364286,0.007252589606069684
back first,0.009628296222956977,0.00704870133532867
back third,0.009524819030286586,0.006972947556128071
position right,0.008997669722998085,0.006587031092803795
suture throw,0.008776219708890259,0.006424911547039446
grab gallbladder,0.007768058509268766,0.005686854986517863
left side,0.0075103993912341415,0.00549822741136911
drive needle,0.007495194334124133,0.0054870960643609535
right edge,0.007495194334124133,0.0054870960643609535
lymphatic tissue,0.007129333028309597,0.0052192556266424705
tissue around,0.007129333028309597,0.0052192556266424705
cut left,0.004907184940012373,0.003592461245313361
inferior mesenteric,0.00490277388664474,0.0035892319930092512
triangular peg,0.004747722906280715,0.003475721977630821
colon part,0.004096179808079975,0.0029987390722480754
simple interrupted,0.003820807914974772,0.0027971442951768614
interrupted stitch,0.003820807914974772,0.0027971442951768614
silicon suture,0.003820807914974772,0.0027971442951768614
suture training,0.003820807914974772,0.0027971442951768614
training phantom,0.003820807914974772,0.0027971442951768614
without cut,0.003820807914974772,0.0027971442951768614
suture thread,0.003820807914974772,0.0027971442951768614
thread tail,0.003820807914974772,0.0027971442951768614
cut along,0.003737069515207231,0.0027358409288707423
trace use,0.003737069515207231,0.0027358409288707423
surigal instrument,0.003737069515207231,0.0027358409288707423
cut right,0.0036799254806619257,0.002694006815827442
right hand,0.0034890737453123436,0.002554287715930945
resect home,0.0033073505748211426,0.002421251473085884
cylinder peg,0.002906263157268135,0.00212762263676606
uterus stump,0.002837683346037046,0.002077416598666756
tissue flap,0.002792215367490778,0.0020441303148142067
penetrating hole,0.0027506580610516924,0.0020137069632048723
hole inside,0.0027506580610516924,0.0020137069632048723
pelvic lymphadenectomy,0.0026288825762098805,0.0019245573356136303
small intestine,0.0024570299843510142,0.001798747164669049
surgical knot,0.002263680965412169,0.0016571998486725565
lateral approximation,0.0022178715917007415,0.0016236636356008795
artery coagulation,0.00220214413055881,0.0016121498460595748
orange triangular,0.0017125538214937408,0.0012537296452931417
black triangular,0.0016193011313363006,0.0011854610392578915
first penetrating,0.0015887731460234866,0.0011631120539487086
green cylinder,0.0014784858241106084,0.001082372702433578
orange cylinder,0.0014277773331575264,0.0010452499343324819
white triangular,0.001415867953450673,0.0010365312930797875
keep position,0.0013426978822209709,0.0009829648087465396
position await,0.0013426978822209709,0.0009829648087465396
await surgeon,0.0013426978822209709,0.0009829648087465396
counterpart grasp,0.0013426978822209709,0.0009829648087465396
second penetrating,0.0011618849150282066,0.0008505949092561642
utterine vessel,0.0011009971726073007,0.0008060200954605433
uterus neck,0.0010470744486921074,0.0007665442456046429
neck dissect,0.0010470744486921074,0.0007665442456046429
single knot,0.0009250211180656417,0.0006771912121451192
double knot,0.0008104604647840785,0.0005933234321077197
partially dissect,0.0007814500533434306,0.0005720854351532256
dissect tissue,0.0007814500533434306,0.0005720854351532256
flap use,0.0007535865989349425,0.0005516871046752231
hand instrument,0.0007487928863485359,0.0005481777144854591
suture pull,0.0007085538967342696,0.00051871947875419
needle insert,0.00069919436623741,0.000511867535940677
broad ligament,0.0006965767432433509,0.0005099512215412905
remain position,0.000660073006102715,0.0004832274965156529
surgeon pick,0.000660073006102715,0.0004832274965156529
robotic grasp,0.000660073006102715,0.0004832274965156529
remove cap,0.0006049709976439199,0.00044288831379745455
pull back,0.0005869480056536514,0.0004296940076848609
end grasp,0.0005869480056536514,0.0004296940076848609
continue till,0.0005869480056536514,0.0004296940076848609
till fully,0.0005869480056536514,0.0004296940076848609
fully straight,0.0005869480056536514,0.0004296940076848609
right instrument,0.0005756200191645993,0.00042140099388023944
ovarian vessel,0.0005707570541078999,0.0004178409052108563
left arm,0.0005109837640151448,0.0003740819617864509
center grasp,0.00048791005918519194,0.0003571901202519037
left instrument,0.0004849888905778504,0.0003550515856050163
retract home,0.0004517506365961607,0.00033071846167535216
right arm,0.00041854697791579614,0.0003064106643394071
intestine grasp,0.0003649506938395374,0.0002671737951790857
stay stationary,0.00036322746124698774,0.0002659122477988519
secure grip,0.00036322746124698774,0.0002659122477988519
surgeon cut,0.0003101305551844659,0.0002270409642406714
urinary bladder,0.00029215631387940143,0.00021388234762203794
bladder mobilization,0.00029215631387940143,0.00021388234762203794
intact tissue,0.0002791588563990191,0.00020436714433203027
tissue block,0.0002791588563990191,0.00020436714433203027
block use,0.00024695109995910005,0.00018078842899455427
vesicouterine fold,0.0002247529089854098,0.00016453753530216246
partially peel,0.0001587134786291763,0.00011619126404531813
peel skin,0.0001587134786291763,0.00011619126404531813
underlying fat,0.0001587134786291763,0.00011619126404531813
fat layer,0.0001587134786291763,0.00011619126404531813
layer use,0.0001587134786291763,0.00011619126404531813
previous movement,0.00010474257236453978,7.668014076377784e-05
gallbladder grasp,5.8889600771479444e-05,4.311201047233861e-05
colon grasp,4.750128102941218e-05,3.4774827785575935e-05
side use,2.7863454408488086e-05,2.0398330478002484e-05
stomach grasp,2.1877561609760813e-05,1.601616674035989e-05
center use,1.820112747651238e-05,1.3324715876759686e-05
