alphabetic_token_length,training_mixture_weight
1,0.24665357135355062
2,0.4063701295494757
3,0.059248451258596097
4,0.0013390809772272998
5,0.08595906940843788
6,0.04475150272826404
7,0.06033597956904068
8,0.03693583613946065
9,0.00010489235770874865
10,0.018952541878996317
11,0.02577468716735297
12,0.001263560175150665
13,0.003412243529520771
14,0.001171561432522489
15,2.995706884177405e-07
16,0.0001361353748114226
17,0.0032645180609435177
18,0.00013928214737173066
19,0.00036525026452795517
21,2.995706884177405e-07
22,0.003820807914974772
23,2.995706884177405e-07
