noun,expected_occurrences_per_training_sample,token_share
wound,0.13426172875511994,0.07603462536615947
closure,0.13426172875511994,0.07603462536615947
tube,0.12609615249053752,0.07141032521798599
clip,0.09661014114936992,0.05471191200183326
prostatectomy,0.0689084676849048,0.03902399867451462
knot,0.06784838335312082,0.03842365548088018
hemicolectomy,0.06453853550798068,0.036549234204931697
tie,0.06384922080485894,0.0361588639505248
tissue,0.06361934566547918,0.03602868187804744
hysterectomy,0.06041628776690534,0.03421473750534851
transfer,0.05957726377106402,0.03373958441601679
needle,0.05791802517730832,0.03279993030878128
suture,0.0571100555168635,0.03234236380037445
hernia,0.04870035318544291,0.027579811045100936
repair,0.04870035318544291,0.027579811045100936
dissect,0.047600455105138835,0.026956920670812578
peg,0.043725175006771796,0.024762285809483676
phantom,0.03672370668057669,0.020797239134371683
position,0.03568694503434354,0.02021010396118232
throw,0.03261754423876864,0.018471851804338784
cholecystectomy,0.03207967461408628,0.018167247388860476
retract,0.031066625190867826,0.017593540837589204
grasp,0.021297501450251402,0.012061125378168133
seaspike,0.019458463902971398,0.01101964816617146
holder,0.018826931674315924,0.010662001077476101
flap,0.018459603039539935,0.010453976829684714
pickup,0.01676897850426668,0.009496548347523616
debridement,0.01661747282947545,0.00941074819188426
thread,0.015371194373114738,0.008704960202932205
cut,0.014978252373755274,0.008482430685481856
scissors,0.01257896405031578,0.0071236742437943285
artery,0.012032106914954332,0.006813980053189522
vein,0.012032106914954332,0.006813980053189522
base,0.010463957345480515,0.005925911158661013
rollercoaster,0.009753978550119396,0.005523838488930539
gallbladder,0.00802766724549418,0.004546200002300081
layer,0.00765390781275331,0.004334533887845731
hand,0.0076441961410749475,0.004329034008434151
side,0.007523057788532622,0.004260431366874031
drive,0.007495194334124133,0.004244651834337096
edge,0.007495194334124133,0.004244651834337096
colon,0.007045833771993058,0.003990171556801863
anastomosis,0.006846837869131671,0.0038774769038746474
workspace,0.005772313061262848,0.0032689558311126163
instrument,0.005705184789927394,0.003230939986911932
arm,0.005084653137693545,0.002879522705584505
end,0.0044077559206284235,0.0024961846777775323
part,0.004096179808079974,0.002319734000355711
pause,0.003886929682220182,0.002201232212280349
surgery,0.003886929682220182,0.002201232212280349
coagulation,0.0038738983572740096,0.0021938523586206805
stitch,0.003820807914974772,0.0021637863679011002
silicon,0.003820807914974772,0.0021637863679011002
tail,0.003820807914974772,0.0021637863679011002
home,0.0037591012114173033,0.002128840846708458
trace,0.003737069515207231,0.0021163639347615754
table,0.0034890737453123436,0.0019759198511706214
stump,0.002837683346037046,0.001607026753820856
surgeon,0.0028171342847194193,0.0015953894824003328
hole,0.0027506580610516915,0.001557742903518933
lymphadenectomy,0.0026288825762098805,0.0014887794434578958
staple,0.0025840967582914285,0.0014634164981217948
mesocolon,0.0025840967582914285,0.0014634164981217948
retroperitoneum,0.0025840967582914285,0.0014634164981217948
approximation,0.0022178715917007415,0.001256017162513878
intestine,0.002018579674281424,0.0011431548716735811
hold,0.001846930723432239,0.0010459472474807158
vessel,0.0016717542267152006,0.0009467419160408855
neck,0.0010470744486921074,0.0005929754828495485
insert,0.00069919436623741,0.0003959652701325987
ligament,0.0006965767432433509,0.00039448286717571343
remain,0.000660073006102715,0.00037381020040992685
cap,0.0006049709976439199,0.0003426050266874213
pull,0.0005869480056536514,0.0003323983098764321
till,0.0005869480056536514,0.0003323983098764321
camera,0.0005869480056536514,0.0003323983098764321
gripper,0.000504232841211268,0.00028555535173198723
stay,0.00036322746124698774,0.00020570168576473612
secure,0.00036322746124698774,0.00020570168576473612
grip,0.00036322746124698774,0.00020570168576473612
error,0.0003101305551844659,0.00017563203450969033
bladder,0.00029215631387940143,0.00016545292601359622
mobilization,0.00029215631387940143,0.00016545292601359622
block,0.0002791588563990191,0.00015809225205686548
vesicouterine,0.0002247529089854098,0.00012728126915324332
fold,0.0002247529089854098,0.00012728126915324332
identification,0.00017532374539648262,9.928872078898454e-05
uterus,0.00017532374539648262,9.928872078898454e-05
ovary,0.00017532374539648262,9.928872078898454e-05
skin,0.0001587134786291763,8.988205350863388e-05
movement,0.00012062628147847571,6.831264729398209e-05
grasper,0.00010474257236453978,5.9317441563345934e-05
stomach,9.215548212330755e-05,5.21891653239739e-05
omentum,8.616162962748266e-05,4.8794748067130065e-05
center,1.820112747651238e-05,1.0307597866868342e-05
region,1.4006628963406644e-05,7.93218436668469e-06
