verb,expected_occurrences_per_training_sample,token_share
clip,0.06755022494248349,0.1685273232704838
go,0.05854592754805403,0.14606299929367014
suture,0.05612094401047171,0.14001304187440605
create,0.021577589735367615,0.05383273621703617
make,0.018826931674315924,0.04697027142648773
shift,0.018826931674315924,0.04697027142648773
perform,0.018180548254291697,0.0453576451520992
finish,0.014296653835377919,0.03566793159685896
extract,0.012778342493388006,0.03187998053415493
place,0.01257896405031578,0.03138256227452059
insert,0.01241142432484675,0.030964576671973613
resect,0.010368340195575016,0.02586739898210294
lift,0.007978133028254394,0.019904203207204305
cut,0.007868007985366469,0.019629458323397454
grab,0.007768058509268766,0.019380099898856674
move,0.007653986063548849,0.019095506857864375
expose,0.005772313061262848,0.014401024868861306
use,0.005705184789927394,0.014233550254327137
identify,0.00490277388664474,0.0122316596342971
pick,0.004815195401865319,0.01201316491235461
grasp,0.004759807131570008,0.011874979777643381
prepare,0.004096179808079974,0.01021933264142499
transfer,0.0036698116008947483,0.009155610163139496
separate,0.0025840967582914285,0.006446920200748305
tie,0.002263680965412169,0.005647532545806974
keep,0.0013426978822209709,0.0033498227466202766
await,0.0013426978822209709,0.0033498227466202766
retract,0.0007814500533434306,0.0019495965538483275
pull,0.0007085538967342696,0.0017677319610877836
position,0.000660073006102715,0.0016467796661862977
remove,0.0006049709976439199,0.0015093087103116851
continue,0.0005869480056536514,0.0014643441435758745
straight,0.0005869480056536514,0.0014643441435758745
approach,0.000504232841211268,0.0012579826507870355
open,0.000504232841211268,0.0012579826507870355
receive,0.000504232841211268,0.0012579826507870355
take,0.000504232841211268,0.0012579826507870355
peel,0.0001587134786291763,0.00039596548705939577
correct,0.00010474257236453978,0.00026131645554238863
stop,1.5883709113935933e-05,3.9627388108001715e-05
stay,1.5883709113935933e-05,3.9627388108001715e-05
