word,expected_occurrences_per_training_sample,token_share
clip,0.16416036609185336,0.05711763021755371
needle,0.15693172345296252,0.054602510721584833
wound,0.13426172875511994,0.04671475800141388
closure,0.13426172875511994,0.04671475800141388
tube,0.12609615249053752,0.04387364368924984
suture,0.11323099952733522,0.03939736803795595
left,0.08112812563746791,0.0282275581537832
right,0.07406301580715528,0.025769337936922793
prostatectomy,0.0689084676849048,0.023975874748490614
knot,0.06784838335312084,0.023607031121348727
tie,0.06611290177027111,0.023003191122337514
hemicolectomy,0.06453853550798068,0.022455409266477242
tissue,0.06361934566547915,0.02213558818679984
transfer,0.06324707537195877,0.022006061203688827
hysterectomy,0.06041628776690534,0.02102112261285134
go,0.05854592754805403,0.020370353210362332
first,0.05306732008603793,0.018464137461869947
second,0.051855017157783415,0.018042331200004313
inguinal,0.04870035318544291,0.016944703712185705
hernia,0.04870035318544291,0.016944703712185705
repair,0.04870035318544291,0.016944703712185705
dissect,0.04838190515848225,0.01683390354110622
cut,0.04374516127961505,0.015220604127906474
peg,0.043725175006771796,0.015213650144013373
back,0.03823397463321437,0.013303052843006799
phantom,0.03672370668057668,0.012777573225107348
position,0.03634701804044626,0.012646508931293066
plastic,0.03290289876560191,0.011448168943091303
throw,0.03261754423876864,0.011348883258412408
third,0.032092325315232095,0.01116613963416247
cholecystectomy,0.03207967461408628,0.011161737974448607
retract,0.031848075244211266,0.011081155751820414
grasp,0.026057308581821405,0.00906632795402266
create,0.021577589735367615,0.0075076635172780124
seaspike,0.019458463902971398,0.006770339103591295
thread,0.01919200228808951,0.0066776269809984395
surgical,0.01888115379488762,0.006569470976531107
make,0.018826931674315924,0.00655060504009251
shift,0.018826931674315924,0.00655060504009251
holder,0.018826931674315924,0.00655060504009251
parallel,0.018826931674315924,0.00655060504009251
flap,0.018459603039539935,0.00642279744786459
perform,0.018180548254291697,0.006325703682702483
pickup,0.01676897850426668,0.005834564920480787
debridement,0.01661747282947545,0.005781850338303598
finish,0.014296653835377919,0.004974349208386733
artery,0.014234251045513143,0.004952636906197752
insert,0.01311061869108416,0.004561682506858489
extract,0.012778342493388006,0.004446070989645593
scissors,0.01257896405031578,0.004376699651996535
place,0.01257896405031578,0.004376699651996535
ex,0.01245598069458094,0.0043339090685992855
vivo,0.01245598069458094,0.0043339090685992855
mesenteric,0.012032106914954334,0.004186427271500449
vein,0.012032106914954334,0.004186427271500449
base,0.010463957345480515,0.0036408084393341963
resect,0.010436683603130738,0.003631318867842185
rollercoaster,0.009753978550119396,0.003393779833945669
use,0.0084454656488912,0.0029384984660579335
gallbladder,0.00802766724549418,0.002793130523241804
lift,0.007978133028254394,0.0027758956865344166
grab,0.007768058509268766,0.0027028027775746633
move,0.007653986063548849,0.002663112638427456
layer,0.00765390781275331,0.0026630854120017955
hand,0.0076441961410749475,0.002659706352336391
side,0.007523057788532622,0.0026175577156684836
drive,0.007495194334124133,0.0026078629609394568
edge,0.007495194334124133,0.0026078629609394568
lymphatic,0.007129333028309597,0.002480565908222522
around,0.007129333028309597,0.002480565908222522
colon,0.007045833771993055,0.0024515133435915413
anastomosis,0.006846837869131668,0.002382275106220134
expose,0.005772313061262848,0.002008407088643357
workspace,0.005772313061262848,0.002008407088643357
instrument,0.005705184789927394,0.0019850506118605457
arm,0.005084653137693545,0.0017691440669716967
identify,0.00490277388664474,0.001705861363277929
inferior,0.00490277388664474,0.001705861363277929
pick,0.004815195401865319,0.0016753894800351388
triangular,0.004747722906280715,0.001651913234553933
lateral,0.004435743183401483,0.0015433636322898872
end,0.0044077559206284235,0.0015336257999255351
prepare,0.004096179808079975,0.0014252166290346306
part,0.004096179808079975,0.0014252166290346306
uterus,0.004060081540125636,0.0014126566697119497
pause,0.003886929682220182,0.0013524105577741126
surgery,0.003886929682220182,0.0013524105577741126
coagulation,0.00387389835727401,0.0013478764645746385
simple,0.003820807914974772,0.001329404282016045
interrupted,0.003820807914974772,0.001329404282016045
stitch,0.003820807914974772,0.001329404282016045
occasionally,0.003820807914974772,0.001329404282016045
silicon,0.003820807914974772,0.001329404282016045
training,0.003820807914974772,0.001329404282016045
without,0.003820807914974772,0.001329404282016045
tail,0.003820807914974772,0.001329404282016045
home,0.0037591012114173033,0.0013079341747078803
along,0.003737069515207231,0.0013002685102899033
trace,0.003737069515207231,0.0013002685102899033
surigal,0.003737069515207231,0.0013002685102899033
table,0.0034890737453123436,0.0012139813569556574
orange,0.003140331154651267,0.0010926405558310697
cylinder,0.002906263157268135,0.0010111994038735233
stump,0.002837683346037046,0.0009873378811957826
surgeon,0.0028171342847194193,0.00098018808180388
penetrating,0.0027506580610516924,0.0009570584771855029
hole,0.0027506580610516924,0.0009570584771855029
inside,0.0027506580610516924,0.0009570584771855029
pelvic,0.0026288825762098805,0.0009146881579766259
lymphadenectomy,0.0026288825762098805,0.0009146881579766259
staple,0.002584096758291429,0.0008991054698542963
mesocolon,0.002584096758291429,0.0008991054698542963
separate,0.002584096758291429,0.0008991054698542963
retroperitoneum,0.002584096758291429,0.0008991054698542963
small,0.0024570299843510142,0.0008548941100745237
intestine,0.0024570299843510142,0.0008548941100745237
approximation,0.0022178715917007415,0.0007716818161449436
hold,0.001846930723432239,0.0006426173906033751
vessel,0.0016717542267152003,0.000581666829877336
black,0.0016193011313363006,0.000563416404534463
green,0.0014784858241106084,0.0005144214075168031
white,0.001415867953450673,0.0004926342705451203
close,0.0013426978822209709,0.000467175621962723
keep,0.0013426978822209709,0.000467175621962723
await,0.0013426978822209709,0.000467175621962723
counterpart,0.0013426978822209709,0.000467175621962723
pull,0.0012955019023879212,0.0004507543469129896
utterine,0.0011009971726073007,0.0003830787593417578
neck,0.0010470744486921074,0.0003643169943784175
partially,0.000940163531972607,0.0003271186233417246
single,0.0009250211180656417,0.0003218500020616329
double,0.0008104604647840785,0.00028198999694958025
broad,0.0006965767432433509,0.00024236552211670558
ligament,0.0006965767432433509,0.00024236552211670558
remain,0.000660073006102715,0.0002296644846544049
robotic,0.000660073006102715,0.0002296644846544049
remove,0.0006049709976439199,0.00021049240178007118
cap,0.0006049709976439199,0.00021049240178007118
continue,0.0005869480056536514,0.0002042215179094901
till,0.0005869480056536514,0.0002042215179094901
fully,0.0005869480056536514,0.0002042215179094901
straight,0.0005869480056536514,0.0002042215179094901
camera,0.0005869480056536514,0.0002042215179094901
ovarian,0.0005707570541078999,0.00019858807053557822
center,0.0005061111866617043,0.00017609531640868528
approach,0.000504232841211268,0.00017544176864065208
open,0.000504232841211268,0.00017544176864065208
gripper,0.000504232841211268,0.00017544176864065208
receive,0.000504232841211268,0.00017544176864065208
take,0.000504232841211268,0.00017544176864065208
stay,0.0003791111703609237,0.00013190718414884093
stationary,0.00036322746124698774,0.00012638063809359307
secure,0.00036322746124698774,0.00012638063809359307
grip,0.00036322746124698774,0.00012638063809359307
error,0.0003101305551844659,0.00010790620654610022
urinary,0.00029215631387940143,0.00010165228489165345
bladder,0.00029215631387940143,0.00010165228489165345
mobilization,0.00029215631387940143,0.00010165228489165345
intact,0.0002791588563990191,9.712997547064822e-05
block,0.0002791588563990191,9.712997547064822e-05
vesicouterine,0.0002247529089854098,7.820007868747809e-05
fold,0.0002247529089854098,7.820007868747809e-05
identification,0.00017532374539648262,6.100179413774948e-05
ovary,0.00017532374539648262,6.100179413774948e-05
peel,0.0001587134786291763,5.522245106233826e-05
skin,0.0001587134786291763,5.522245106233826e-05
underlying,0.0001587134786291763,5.522245106233826e-05
fat,0.0001587134786291763,5.522245106233826e-05
movement,0.00012062628147847571,4.197046768372212e-05
grasper,0.00012062628147847571,4.197046768372212e-05
correct,0.00010474257236453978,3.644392162847424e-05
previous,0.00010474257236453978,3.644392162847424e-05
stomach,9.215548212330755e-05,3.2064394565824976e-05
omentum,8.616162962748266e-05,2.997890548837294e-05
stop,1.5883709113935933e-05,5.526546055247882e-06
region,1.4006628963406644e-05,4.87343853313958e-06
