rule,word,nltk_tag,corrected_tag,source_row_occurrences,expected_corrections_per_training_sample
pos_override_corpus_adjective,penetrating,NN,JJ,23,0.0027506580610516915
pos_override_directional_left_right,right,NN,JJ,12,0.0493803205007165
pos_override_directional_left_right,left,VBD,JJ,8,0.07220320661372498
pos_override_corpus_adjective,training,VBG,JJ,3,0.003820807914974772
pos_override_attributive_cutting_position,cutting,VBG,JJ,2,0.02089890092049331
pos_override_peg_color_modifier,orange,NN,JJ,2,0.003140331154651267
pos_override_peg_shape_modifier,cylinder,NN,JJ,2,0.002906263157268135
pos_override_ex_vivo_modifier,ex,NN,JJ,2,0.01245598069458094
pos_override_ex_vivo_modifier,vivo,NN,JJ,2,0.01245598069458094
pos_override_directional_left_right,right,RB,JJ,1,0.008997669722998085
pos_override_corpus_adjective,underlying,VBG,JJ,1,0.0001587134786291763
pos_override_directional_left_right,left,VBN,JJ,1,0.00041854697791579614
pos_override_directional_left_right,right,VB,JJ,1,0.00041854697791579614
pos_override_directional_left_right,left,VB,JJ,1,0.0005109837640151448
