entry_id,group,historical_training_path,current_public_path,mechanism,source,raw_public_rows,unique_prompts,unresolved_task_index_rows,group_exclude_splits_in_training_yaml
cmr_versius:00,cmr_versius,cmr-surgical-60hz/cholecystectomy_phase_gesture_prompts_v1,cmr_surgical/cholecystectomy,CMR_STATE_PROMPT,n17_counts_cache,16999777,146,0,
cmr_versius:01,cmr_versius,cmr-surgical-60hz/hysterectomy_phase_prompts_v1,cmr_surgical/hysterectomy,CMR_STATE_PROMPT,n17_counts_cache,26374851,468,0,
cmr_versius:02,cmr_versius,cmr-surgical-60hz/inguinal_hernia,cmr_surgical/inguinal_hernia,CMR_STATE_PROMPT,n17_counts_cache,25807467,343,0,
cmr_versius:03,cmr_versius,cmr-surgical-60hz/prostatectomy,cmr_surgical/prostatectomy,CMR_STATE_PROMPT,n17_counts_cache,36516224,384,0,
jhu_imerse_dvrk:00,jhu_imerse_dvrk,Surgical/JHU/LSCR/ARCADE/Cholecystectomy,jhu/lcsr/arcade/cholecystectomy,TASK_INDEX,n17_counts_cache,181021,2,0,missing_videos
jhu_imerse_dvrk:01,jhu_imerse_dvrk,Surgical/JHU/LSCR/ARCADE/cautery,jhu/lcsr/arcade/cautery,TASK_INDEX,n17_counts_cache,5288,1,0,missing_videos
jhu_imerse_dvrk:02,jhu_imerse_dvrk,Surgical/JHU/srth_porcine_chole_fix,jhu/imerse/srth_porcine_chole,TASK_INDEX,n17_counts_cache,1878393,17,0,missing_videos
jhu_imerse_dvrk:03,jhu_imerse_dvrk,Surgical/JHU/cao_cautery_combined,jhu/imerse/cao_cautery_combined,TASK_INDEX,n17_counts_cache,52748,3,0,missing_videos
jhu_imerse_dvrk:05,jhu_imerse_dvrk,Surgical/JHU/srt_needle_pickup+handover,jhu/imerse/srt_needle_pickup_handover,TASK_INDEX,n17_counts_cache,58305,1,0,missing_videos
jhu_imerse_dvrk:07,jhu_imerse_dvrk,Surgical/JHU/srt_tissue_lift,jhu/imerse/srt_tissue_lift,TASK_INDEX,n17_counts_cache,27487,1,0,missing_videos
jhu_imerse_dvrk:09,jhu_imerse_dvrk,Surgical/JHU/Imerse/Wound_Closure/point_labeled,jhu/imerse/wound_closure/point_labeled/fausto_0_1_jesse_0_1_2_labeled,TASK_INDEX,n17_counts_cache,1883971,1,0,missing_videos
jhu_imerse_dvrk:10,jhu_imerse_dvrk,Surgical/JHU/suturebot,jhu/imerse/suturebot,TASK_INDEX,n17_counts_cache,516334,3,0,missing_videos
