semantic_language,normalized_training_mixture_weight
wound closure,0.13426172875511994
prostatectomy,0.0689084676849048
hysterectomy,0.050532626936610925
inguinal hernia repair,0.04870035318544291
knot tie,0.03908860962400051
dissect,0.03858141419798222
peg transfer,0.03607118894322295
cholecystectomy,0.03207967461408628
hemicolectomy. suture,0.030450386872925964
needle throw,0.02384132452987838
needle transfer,0.02350607482784107
tissue retract,0.021854339505640804
seaspike,0.019458463902971398
"make first right-to-left suture, shift needle holder, create second parallel suture",0.018826931674315924
needle pickup,0.01676897850426668
surgical debridement,0.01661747282947545
flap grasp,0.01566738767204915
needle thread,0.015371194373114738
clip first clip left tube,0.013106469684025322
clip third clip left tube,0.013018243262175495
position the needle for suture,0.012680530653161992
scissors place,0.01257896405031578
clip second clip left tube,0.012388899537332347
go to the cut position left tube,0.011901231197495225
clip first clip right tube,0.009916849358716224
rollercoaster,0.009753978550119396
clip second clip right tube,0.00957050007746408
clip third clip right tube,0.009549263022770019
go to the cut position right tube,0.008997669722998085
extract the needle from the plastic phantom,0.00894720194021148
suture throw,0.008776219708890259
retract,0.00876053504863086
grab gallbladder,0.007768058509268766
drive needle from right edge through both layer to left side,0.007495194334124133
finish the knot tie on the plastic phantom,0.007258020456510758
hemicolectomy. resect the lymphatic tissue around the mesenteric artery and vein,0.007128733886932761
finish the knot tie on ex vivo tissue,0.007038633378867161
insert the needle into the plastic phantom,0.006650992962179686
cut,0.006391141953080974
suture,0.006331385438027726
insert the needle into the tissue,0.005760431362667063
go back first clip left tube,0.0057144780795235425
go back second clip left tube,0.005626109127105301
go back third clip left tube,0.005540590786055389
perform base knot tie on ex vivo tissue,0.00541734731571378
perform base knot tie on the plastic phantom,0.005046610029766736
go back from the cut left tube,0.004907184940012373
hemicolectomy. identify the inferior mesenteric artery and vein,0.004902474315956322
hemicolectomy,0.004320258683016444
go back second clip right tube,0.0042806918265375585
pick up the needle and hand it to the other arm,0.004155122395762604
hemicolectomy. prepare the colon part for anastomosis,0.004095580666703139
go back third clip right tube,0.003984228244231196
go back first clip right tube,0.003913818143433436
hemicolectomy. suture. pause in the surgery,0.003886929682220182
extract the needle from the tissue,0.0038311405531765257
