language,num_training_entries_containing_string,entry_ids
Approach the colon grasped by the surgeon  and open your gripper to receive and take over the hold.,1,tud_tundra_ur5e:00
Approach the gallbladder grasped by the surgeon  and open your gripper to receive and take over the hold.,1,tud_tundra_ur5e:00
Approach the omentum grasped by the surgeon  and open your gripper to receive and take over the hold.,1,tud_tundra_ur5e:00
Approach the small intestine grasped by the surgeon  and open your gripper to receive and take over the hold.,1,tud_tundra_ur5e:00
Approach the stomach grasped by the surgeon  and open your gripper to receive and take over the hold.,1,tud_tundra_ur5e:00
Close down on the colon for hold. Keep position awaiting surgeon's counterpart grasp.,1,tud_tundra_ur5e:00
Close down on the gallbladder for hold. Keep position awaiting surgeon's counterpart grasp.,1,tud_tundra_ur5e:00
Close down on the omentum for hold. Keep position awaiting surgeon's counterpart grasp.,1,tud_tundra_ur5e:00
Close down on the small intestine for hold. Keep position awaiting surgeon's counterpart grasp.,1,tud_tundra_ur5e:00
Close down on the stomach for hold. Keep position awaiting surgeon's counterpart grasp.,1,tud_tundra_ur5e:00
Correct the previous movement or position of the grasper.,1,tud_tundra_ur5e:00
Dissection,1,obuda_dvrk:07
DoubleKnot,1,obuda_dvrk:10
Drive needle from right edge through both layers to left side.,1,hamlyn_dvrk_30hz:02
Extract the needle from the plastic phantom,3,turin_mitic_ex_vivo:01 | turin_mitic_ex_vivo:02 | turin_mitic_ex_vivo:03
Extract the needle from the tissue,1,turin_mitic_ex_vivo:00
Finish the knot tying on ex vivo tissue,1,turin_mitic_ex_vivo:00
Finish the knot tying on the plastic phantom,2,turin_mitic_ex_vivo:02 | turin_mitic_ex_vivo:03
Grasp the needle from the plastic phantom,1,turin_mitic_ex_vivo:01
Insert the needle into the plastic phantom,3,turin_mitic_ex_vivo:01 | turin_mitic_ex_vivo:02 | turin_mitic_ex_vivo:03
Insert the needle into the tissue,1,turin_mitic_ex_vivo:00
Knot tying,1,obuda_dvrk:00
Lift the intact tissue block using the left instrument (center grasp).,1,hamlyn_dvrk_30hz:05
Lift the intact tissue block using the left instrument (left-side grasp).,1,hamlyn_dvrk_30hz:05
Lift the intact tissue block using the right instrument (center grasp).,1,hamlyn_dvrk_30hz:05
Lift the intact tissue block using the right instrument (left-side grasp).,1,hamlyn_dvrk_30hz:05
Lift the intact tissue block using the right instrument (right-side grasp).,1,hamlyn_dvrk_30hz:05
Lift the plastic phantom to expose the workspace,3,turin_mitic_ex_vivo:01 | turin_mitic_ex_vivo:02 | turin_mitic_ex_vivo:03
Lift the tissue flap to expose the workspace,1,turin_mitic_ex_vivo:00
"Make first right-to-left suture, shift needle holder, create second parallel suture.",1,hamlyn_dvrk_30hz:00
Move the black triangular peg to right.,1,hamlyn_dvrk_30hz:01
Move the green cylinder peg to right.,1,hamlyn_dvrk_30hz:01
Move the orange cylinder peg to right.,1,hamlyn_dvrk_30hz:01
Move the orange triangular peg to right.,1,hamlyn_dvrk_30hz:01
