verb,following_noun,verb_expected_occurrences_per_training_sample,matched_noun_expected_occurrences_per_training_sample,pair_expected_occurrences_per_training_sample,pair_share_of_all_verb_occurrences,pair_share_among_matched_nouns
clip,clip,0.06755022494248349,0.06755022494248349,0.06755022494248349,1.0,1.0
tie,tissue,0.06611290177027111,0.027024292146270605,0.01245598069458094,0.18840468896468862,0.46091792625546657
tie,plastic,0.06611290177027111,0.027024292146270605,0.012304630486277494,0.1861154200890105,0.4553174018278792
tie,knot,0.06611290177027111,0.027024292146270605,0.002263680965412169,0.03423962501718651,0.0837646719166541
go,clip,0.05854592754805403,0.05854592754805404,0.029059916206886423,0.4963610181602175,0.49636101816021744
go,position,0.05854592754805403,0.05854592754805404,0.02089890092049331,0.3569659205303334,0.3569659205303333
go,cut,0.05854592754805403,0.05854592754805404,0.0085871104206743,0.1466730613094492,0.14667306130944918
suture,phantom,0.05612094401047171,0.006658491261011818,0.003820807914974772,0.06808167578688341,0.5738248749153071
suture,stump,0.05612094401047171,0.006658491261011818,0.002837683346037046,0.05056371370922694,0.42617512508469285
create,suture,0.021577589735367615,0.021577589735367615,0.018826931674315924,0.8725224598860959,0.8725224598860959
create,hole,0.021577589735367615,0.021577589735367615,0.0027506580610516915,0.12747754011390414,0.12747754011390414
make,suture,0.018826931674315924,0.018826931674315924,0.018826931674315924,1.0,1.0
shift,holder,0.018826931674315924,0.018826931674315924,0.018826931674315924,1.0,1.0
finish,knot,0.014296653835377919,0.014296653835377919,0.014296653835377919,1.0,1.0
extract,needle,0.012778342493388006,0.012778342493388006,0.012778342493388006,1.0,1.0
insert,needle,0.01241142432484675,0.01241142432484675,0.01241142432484675,1.0,1.0
resect,tissue,0.010368340195575016,0.010368340195575018,0.007129333028309598,0.6876060096245918,0.6876060096245917
resect,home,0.010368340195575016,0.010368340195575018,0.003239007167265421,0.3123939903754083,0.31239399037540827
lift,tissue,0.007978133028254394,0.007978133028254394,0.004216585281138893,0.5285177956053055,0.5285177956053055
lift,plastic,0.007978133028254394,0.007978133028254394,0.003761547747115501,0.4714822043946945,0.4714822043946945
cut,suture,0.007868007985366469,0.007557877430182003,0.003820807914974772,0.48561312114591226,0.5055398093274929
cut,trace,0.007868007985366469,0.007557877430182003,0.003737069515207231,0.4749702239954157,0.49446019067250707
grab,gallbladder,0.007768058509268766,0.007768058509268766,0.007768058509268766,1.0,1.0
perform,dissect,0.00771659090881118,0.00771659090881118,0.0038957829938364072,0.5048580441640378,0.5048580441640378
perform,stitch,0.00771659090881118,0.00771659090881118,0.003820807914974772,0.49514195583596216,0.49514195583596216
move,peg,0.007653986063548849,0.007653986063548849,0.007653986063548849,1.0,1.0
expose,workspace,0.005772313061262848,0.005772313061262848,0.005772313061262848,1.0,1.0
use,instrument,0.005705184789927394,0.005705184789927394,0.004956391903578858,0.86875221155491,0.86875221155491
use,hand,0.005705184789927394,0.005705184789927394,0.0007487928863485359,0.13124778844509002,0.13124778844509002
grasp,needle,0.005264039972781276,0.0052640399727812755,0.004727599375130089,0.8980933654712054,0.8980933654712056
grasp,surgeon,0.005264039972781276,0.0052640399727812755,0.000504232841211268,0.09578818622550364,0.09578818622550365
grasp,tissue,0.005264039972781276,0.0052640399727812755,3.220775643991902e-05,0.00611844830329089,0.006118448303290891
identify,artery,0.00490277388664474,0.00490277388664474,0.00490277388664474,1.0,1.0
pick,needle,0.004815195401865319,0.004815195401865319,0.004155122395762604,0.8629187497049413,0.8629187497049413
pick,intestine,0.004815195401865319,0.004815195401865319,0.0005239376312912924,0.10880921490503344,0.10880921490503344
pick,colon,0.004815195401865319,0.004815195401865319,4.682697262363188e-05,0.00972483330697067,0.00972483330697067
pick,gallbladder,0.004815195401865319,0.004815195401865319,4.3230661126136954e-05,0.008977966108995324,0.008977966108995324
pick,stomach,0.004815195401865319,0.004815195401865319,2.3975409983299524e-05,0.004979114653168984,0.004979114653168984
pick,omentum,0.004815195401865319,0.004815195401865319,2.2102331078354242e-05,0.0045901213208901556,0.0045901213208901556
prepare,colon,0.004096179808079974,0.004096179808079974,0.004096179808079974,1.0,1.0
transfer,needle,0.0036698116008947483,0.0036698116008947483,0.0036698116008947483,1.0,1.0
separate,retroperitoneum,0.0025840967582914285,0.0025840967582914285,0.0025840967582914285,1.0,1.0
keep,position,0.0013426978822209709,0.0013426978822209709,0.0013426978822209709,1.0,1.0
await,surgeon,0.0013426978822209709,0.0013426978822209709,0.0013426978822209709,1.0,1.0
retract,tissue,0.0007814500533434306,0.0007814500533434306,0.0007814500533434306,1.0,1.0
position,surgeon,0.000660073006102715,0.000660073006102715,0.000660073006102715,1.0,1.0
remove,cap,0.0006049709976439199,0.0006049709976439199,0.0006049709976439199,1.0,1.0
continue,till,0.0005869480056536514,0.0005869480056536514,0.0005869480056536514,1.0,1.0
straight,camera,0.0005869480056536514,0.0005869480056536514,0.0005869480056536514,1.0,1.0
open,gripper,0.000504232841211268,0.000504232841211268,0.000504232841211268,1.0,1.0
take,hold,0.000504232841211268,0.000504232841211268,0.000504232841211268,1.0,1.0
peel,skin,0.0001587134786291763,0.0001587134786291763,0.0001587134786291763,1.0,1.0
correct,movement,0.00010474257236453978,0.00010474257236453978,0.00010474257236453978,1.0,1.0
stop,movement,1.5883709113935933e-05,1.5883709113935933e-05,1.5883709113935933e-05,1.0,1.0
