verb,following_noun,example_rank,canonical_semantic_text,current_public_path,historical_training_path,prompt_pair_expected_occurrences_per_training_sample,source_row_training_mixture_weight
go,cut,1,go to the cut position left tube,jhu/imerse/srth_porcine_chole,Surgical/JHU/srth_porcine_chole_fix,0.011901231197495225,0.011901231197495225
go,cut,2,go to the cut position right tube,jhu/imerse/srth_porcine_chole,Surgical/JHU/srth_porcine_chole_fix,0.008997669722998085,0.008997669722998085
go,cut,3,go back from the cut left tube,jhu/imerse/srth_porcine_chole,Surgical/JHU/srth_porcine_chole_fix,0.004907184940012373,0.004907184940012373
go,clip,1,go back first clip left tube,jhu/imerse/srth_porcine_chole,Surgical/JHU/srth_porcine_chole_fix,0.0057144780795235425,0.0057144780795235425
go,clip,2,go back second clip left tube,jhu/imerse/srth_porcine_chole,Surgical/JHU/srth_porcine_chole_fix,0.005626109127105301,0.005626109127105301
go,clip,3,go back third clip left tube,jhu/imerse/srth_porcine_chole,Surgical/JHU/srth_porcine_chole_fix,0.005540590786055389,0.005540590786055389
make,suture,1,"make first right-to-left suture, shift needle holder, create second parallel suture",hamlyn/suturing_2,Surgical/Hamlyn/Suturing-2,0.018826931674315924,0.018826931674315924
shift,holder,1,"make first right-to-left suture, shift needle holder, create second parallel suture",hamlyn/suturing_2,Surgical/Hamlyn/Suturing-2,0.018826931674315924,0.018826931674315924
create,suture,1,"make first right-to-left suture, shift needle holder, create second parallel suture",hamlyn/suturing_2,Surgical/Hamlyn/Suturing-2,0.018826931674315924,0.018826931674315924
finish,knot,1,finish the knot tie on the plastic phantom,turin/mitic_lerobot_plastic_pad_3dmed,Surgical/Turin/mitic_lerobot_plastic_pad_3DMED,0.007258020456510758,0.0038930244000295704
finish,knot,2,finish the knot tie on ex vivo tissue,turin/mitic_lerobot_ex_vivo,Surgical/Turin/mitic_lerobot_ex_vivo,0.007038633378867161,0.007038633378867161
extract,needle,1,extract the needle from the plastic phantom,turin/mitic_lerobot_plastic_pad,Surgical/Turin/mitic_lerobot_plastic_pad,0.00894720194021148,0.0036127436170825785
extract,needle,2,extract the needle from the tissue,turin/mitic_lerobot_ex_vivo,Surgical/Turin/mitic_lerobot_ex_vivo,0.0038311405531765257,0.0038311405531765257
insert,needle,1,insert the needle into the plastic phantom,turin/mitic_lerobot_plastic_pad,Surgical/Turin/mitic_lerobot_plastic_pad,0.006650992962179686,0.0024461446984071714
insert,needle,2,insert the needle into the tissue,turin/mitic_lerobot_ex_vivo,Surgical/Turin/mitic_lerobot_ex_vivo,0.005760431362667063,0.005760431362667063
resect,tissue,1,hemicolectomy. resect the lymphatic tissue around the mesenteric artery and vein,rob_surgical/all_merged_data,Surgical/Rob Surgical/all_merged_data,0.007128733886932761,0.003722914730311469
resect,tissue,2,hemicolectomy. artery coagulation. resect the lymphatic tissue around the mesenteric artery and vein,rob_surgical/all_merged_data,Surgical/Rob Surgical/all_merged_data,2.995706884177405e-07,1.4978534420887024e-07
resect,tissue,3,hemicolectomy. resect the lymphatic tissue around the mesenteric artery and vein. dissect and staple of the mesocolon while separate it from the retroperitoneum,rob_surgical/all_merged_data,Surgical/Rob Surgical/all_merged_data,2.995706884177405e-07,1.4978534420887024e-07
expose,workspace,1,lift the plastic phantom to expose the workspace,turin/mitic_lerobot_plastic_tube,Surgical/Turin/mitic_lerobot_plastic_tube,0.003761547747115501,0.0012902251635886904
expose,workspace,2,lift the tissue flap to expose the workspace,turin/mitic_lerobot_ex_vivo,Surgical/Turin/mitic_lerobot_ex_vivo,0.0020107653141473473,0.0020107653141473473
identify,artery,1,hemicolectomy. identify the inferior mesenteric artery and vein,rob_surgical/all_merged_data,Surgical/Rob Surgical/all_merged_data,0.004902474315956322,0.0016086945968032665
identify,artery,2,hemicolectomy. identify the inferior mesenteric artery and vein. artery coagulation,rob_surgical/all_merged_data,Surgical/Rob Surgical/all_merged_data,2.995706884177405e-07,1.4978534420887024e-07
grasp,needle,1,"use the left-hand to grasp the needle from the table, then transfer the needle to the right hand",hamlyn/needle_grasp_and_handover,Surgical/Hamlyn/needle_grasp_and_handover,0.0027402808589638075,0.0027402808589638075
grasp,needle,2,grasp the needle from the plastic phantom,turin/mitic_lerobot_plastic_pad,Surgical/Turin/mitic_lerobot_plastic_pad,0.001238525629817746,0.001238525629817746
grasp,needle,3,use the right hand instrument to grasp the needle from the table,hamlyn/needle_grasp_and_handover,Surgical/Hamlyn/needle_grasp_and_handover,0.0007487928863485359,0.0007487928863485359
lift,tissue,1,lift the tissue flap to expose the workspace,turin/mitic_lerobot_ex_vivo,Surgical/Turin/mitic_lerobot_ex_vivo,0.0020107653141473473,0.0020107653141473473
lift,tissue,2,lift the tissue,jhu/imerse/srt_tissue_lift,Surgical/JHU/srt_tissue_lift,0.001958868867032445,0.001958868867032445
lift,tissue,3,lift the intact tissue block use the left instrument (center grasp),hamlyn/tissue_retraction,Surgical/Hamlyn/Tissue_Retraction,6.673746741387871e-05,6.673746741387871e-05
pick,needle,1,pick up the needle and hand it to the other arm,jhu/imerse/srt_needle_pickup_handover,Surgical/JHU/srt_needle_pickup+handover,0.004155122395762604,0.004155122395762604
prepare,colon,1,hemicolectomy. prepare the colon part for anastomosis,rob_surgical/all_merged_data,Surgical/Rob Surgical/all_merged_data,0.004095580666703139,0.0017953271356875187
prepare,colon,2,hemicolectomy. dissect and staple of the mesocolon while separate it from the retroperitoneum. prepare the colon part for anastomosis,rob_surgical/all_merged_data,Surgical/Rob Surgical/all_merged_data,2.995706884177405e-07,1.4978534420887024e-07
prepare,colon,3,hemicolectomy. prepare the colon part for anastomosis. create the first penetrating hole inside the colon for anastomosis,rob_surgical/all_merged_data,Surgical/Rob Surgical/all_merged_data,2.995706884177405e-07,1.4978534420887024e-07
