language,normalized_training_mixture_weight,training_mixture_weight_before_coverage_normalization,training_mixture_percent_before_coverage_normalization,raw_public_count,num_training_entries,groups,entry_ids,represented_training_mixture_weight,weight_semantics
Wound Closure,0.13421115117235924,0.12925808607724623,12.925808607724623,1883971,1,jhu_imerse_dvrk,jhu_imerse_dvrk:09,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
knot tying,0.03484347352287086,0.033557574467605406,3.3557574467605407,476968,2,jhu_imerse_dvrk | jhu_imerse_dvrk_mono,jhu_imerse_dvrk:10 | jhu_imerse_dvrk_mono:00,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
Peg Transfer,0.030208974961952823,0.02909411216451631,2.909411216451631,403561,2,obuda_dvrk | stanford_dvrk_real,obuda_dvrk:02 | stanford_dvrk_real:02,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
needle throw,0.02383234329169744,0.022952810207734382,2.295281020773438,326238,2,jhu_imerse_dvrk | jhu_imerse_dvrk_mono,jhu_imerse_dvrk:10 | jhu_imerse_dvrk_mono:00,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
Needle Transfer,0.023497219881193146,0.022630054533089774,2.263005453308977,313882,1,stanford_dvrk_real,stanford_dvrk_real:00,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
Tissue Retraction,0.02184610678232288,0.02103987579464084,2.103987579464084,291826,1,stanford_dvrk_real,stanford_dvrk_real:01,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
Seaspike,0.019451133727220096,0.018733289265838924,1.8733289265838924,259875,3,obuda_dvrk,obuda_dvrk:04 | obuda_dvrk:08 | obuda_dvrk:09,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
"Make first right-to-left suture, shift needle holder, create second parallel suture.",0.018819839402350436,0.01812529287007531,1.8125292870075311,251355,1,hamlyn_dvrk_30hz,hamlyn_dvrk_30hz:00,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
needle pickup,0.016762661481493506,0.0161440351396439,1.6144035139643902,229462,2,jhu_imerse_dvrk | jhu_imerse_dvrk_mono,jhu_imerse_dvrk:10 | jhu_imerse_dvrk_mono:00,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
surgical_debridement,0.016611212880232287,0.01599817575190226,1.599817575190226,221950,1,ucb_dvrk,ucb_dvrk:00,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
