semantic_alphabetic_token_length,length_training_mixture_weight,canonical_prompt_training_mixture_weight,example_rank,current_public_path,historical_training_path,mechanism,semantic_surface_text,semantic_text,vlm_formalized_text,original_text,semantic_analysis_weight,vlm_alphabetic_token_length
1,0.24665357135355062,0.0689084676849048,1,cmr_surgical/prostatectomy,cmr-surgical-60hz/prostatectomy,CMR_STATE_PROMPT,prostatectomy,prostatectomy,arm left 1 left instrument tool 18 orange arm right 3 right instrument tool 9 blue do a prostatectomy,arm left: 1. left instrument: Tool #18 (Orange). arm right: 3. right instrument: Tool #9 (Blue). do a prostatectomy,0.0025962458972347276,15
1,0.24665357135355062,0.050532626936610925,2,cmr_surgical/hysterectomy,cmr-surgical-60hz/hysterectomy_phase_prompts_v1,CMR_STATE_PROMPT,hysterectomy,hysterectomy,arm left 1 left instrument tool 3 none arm right 1 right instrument tool 3 none do a hysterectomy,arm left: -1. left instrument: Tool #3 (None). arm right: -1. right instrument: Tool #3 (None). do a hysterectomy,0.002015630137121445,15
1,0.24665357135355062,0.03858141419798222,3,ucsd/surgical_learning_dataset,Surgical/UCSD/surgical_learning_dataset,TASK_INDEX,dissection,dissect,dissection,dissection,0.014825555419011717,1
2,0.4063701295494757,0.13426172875511994,1,jhu/imerse/wound_closure/point_labeled/fausto_0_1_jesse_0_1_2_labeled,Surgical/JHU/Imerse/Wound_Closure/point_labeled,TASK_INDEX,Wound Closure,wound closure,wound closure,Wound Closure,0.13426172875511994,2
2,0.4063701295494757,0.03908860962400051,2,jhu/imerse/suturebot,Surgical/JHU/suturebot,TASK_INDEX,knot tying,knot tie,knot tying,knot tying,0.017860974275417704,2
2,0.4063701295494757,0.03607118894322295,3,stanford/collaborative_haptics_and_robotics_in_medicine_lab/real_robot_dvrk/peg_transfer,Surgical/Stanford/Collaborative Haptics and Robotics in Medicine Lab/Real Robot (dVRK)/Peg Transfer,TASK_INDEX,Peg Transfer,peg transfer,peg transfer,Peg Transfer,0.020124645511405248,2
3,0.059248451258596097,0.04870035318544291,1,cmr_surgical/inguinal_hernia,cmr-surgical-60hz/inguinal_hernia,CMR_STATE_PROMPT,inguinal hernia repair,inguinal hernia repair,arm left 1 left instrument tool 3 none arm right 1 right instrument tool 3 none do an inguinal hernia repair,arm left: -1. left instrument: Tool #3 (None). arm right: -1. right instrument: Tool #3 (None). do an inguinal hernia repair,0.002254485318238113,17
3,0.059248451258596097,0.003239007167265421,2,jhu/imerse/cao_cautery_combined,Surgical/JHU/cao_cautery_combined,TASK_INDEX,resect home out,resect home out,resect home out,resect home out,0.003239007167265421,3
3,0.059248451258596097,0.0026285830055214634,3,rob_surgical/all_merged_data,Surgical/Rob Surgical/all_merged_data,ROB_TOOL_PROMPT,hysterectomy. Pelvic lymphadenectomy,hysterectomy. pelvic lymphadenectomy,left tool bi_maryland_forceps right tool bi_maryland_forceps aux tool mono_round_scissors the surgery process is a hysterectomypelvic lymphadenectomy,left tool: bi_maryland_forceps. right tool: bi_maryland_forceps. aux tool: mono_round_scissors. The surgery process is a hysterectomy.Pelvic lymphadenectomy,0.0026285830055214634,13
4,0.0013390809772272998,0.0010469995560200029,1,rob_surgical/all_merged_data,Surgical/Rob Surgical/all_merged_data,ROB_TOOL_PROMPT,hysterectomy. Uterus neck dissection,hysterectomy. uterus neck dissect,left tool bi_maryland_forceps right tool bi_maryland_forceps aux tool mono_round_scissors the surgery process is a hysterectomyuterus neck dissection,left tool: bi_maryland_forceps. right tool: bi_maryland_forceps. aux tool: mono_round_scissors. The surgery process is a hysterectomy.Uterus neck dissection,0.0010469995560200029,14
4,0.0013390809772272998,0.000292081421207297,2,rob_surgical/all_merged_data,Surgical/Rob Surgical/all_merged_data,ROB_TOOL_PROMPT,hysterectomy. Urinary bladder mobilization,hysterectomy. urinary bladder mobilization,left tool none right tool none aux tool none the surgery process is a hysterectomyurinary bladder mobilization,left tool: none. right tool: none. aux tool: none. The surgery process is a hysterectomy.Urinary bladder mobilization,0.000292081421207297,17
5,0.08595906940843788,0.013106469684025322,1,jhu/imerse/srth_porcine_chole,Surgical/JHU/srth_porcine_chole_fix,TASK_INDEX,clipping first clip left tube,clip first clip left tube,clipping first clip left tube,clipping first clip left tube,0.013106469684025322,5
5,0.08595906940843788,0.013018243262175495,2,jhu/imerse/srth_porcine_chole,Surgical/JHU/srth_porcine_chole_fix,TASK_INDEX,clipping third clip left tube,clip third clip left tube,clipping third clip left tube,clipping third clip left tube,0.013018243262175495,5
5,0.08595906940843788,0.012680530653161992,3,turin/mitic_lerobot_plastic_tube,Surgical/Turin/mitic_lerobot_plastic_tube,DIRECT_TEXT:instruction.text,Position the needle for suturing,position the needle for suture,position the needle for suturing,Position the needle for suturing,0.0043347689799657085,5
6,0.04475150272826404,0.005760431362667063,1,turin/mitic_lerobot_ex_vivo,Surgical/Turin/mitic_lerobot_ex_vivo,DIRECT_TEXT:instruction.text,Insert the needle into the tissue,insert the needle into the tissue,insert the needle into the tissue,Insert the needle into the tissue,0.005760431362667063,6
6,0.04475150272826404,0.0057144780795235425,2,jhu/imerse/srth_porcine_chole,Surgical/JHU/srth_porcine_chole_fix,TASK_INDEX,going back first clip left tube,go back first clip left tube,going back first clip left tube,going back first clip left tube,0.0057144780795235425,6
6,0.04475150272826404,0.005626109127105301,3,jhu/imerse/srth_porcine_chole,Surgical/JHU/srth_porcine_chole_fix,TASK_INDEX,going back second clip left tube,go back second clip left tube,going back second clip left tube,going back second clip left tube,0.005626109127105301,6
7,0.06033597956904068,0.011901231197495225,1,jhu/imerse/srth_porcine_chole,Surgical/JHU/srth_porcine_chole_fix,TASK_INDEX,go to the cutting position left tube,go to the cutting position left tube,go to the cutting position left tube,go to the cutting position left tube,0.011901231197495225,7
7,0.06033597956904068,0.008997669722998085,2,jhu/imerse/srth_porcine_chole,Surgical/JHU/srth_porcine_chole_fix,TASK_INDEX,go to the cutting position right tube,go to the cutting position right tube,go to the cutting position right tube,go to the cutting position right tube,0.008997669722998085,7
7,0.06033597956904068,0.00894720194021148,3,turin/mitic_lerobot_plastic_pad,Surgical/Turin/mitic_lerobot_plastic_pad,DIRECT_TEXT:instruction.text,Extract the needle from the plastic phantom,extract the needle from the plastic phantom,extract the needle from the plastic phantom,Extract the needle from the plastic phantom,0.0036127436170825785,7
8,0.03693583613946065,0.007258020456510758,1,turin/mitic_lerobot_plastic_pad_3dmed,Surgical/Turin/mitic_lerobot_plastic_pad_3DMED,DIRECT_TEXT:instruction.text,Finish the knot tying on the plastic phantom,finish the knot tie on the plastic phantom,finish the knot tying on the plastic phantom,Finish the knot tying on the plastic phantom,0.0038930244000295704,8
8,0.03693583613946065,0.007038633378867161,2,turin/mitic_lerobot_ex_vivo,Surgical/Turin/mitic_lerobot_ex_vivo,DIRECT_TEXT:instruction.text,Finish the knot tying on ex vivo tissue,finish the knot tie on ex vivo tissue,finish the knot tying on ex vivo tissue,Finish the knot tying on ex vivo tissue,0.007038633378867161,8
8,0.03693583613946065,0.00541734731571378,3,turin/mitic_lerobot_ex_vivo,Surgical/Turin/mitic_lerobot_ex_vivo,DIRECT_TEXT:instruction.text,Perform base knot tying on ex vivo tissue,perform base knot tie on ex vivo tissue,perform base knot tying on ex vivo tissue,Perform base knot tying on ex vivo tissue,0.00541734731571378,8
